gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22401165,2025-04-09 22:00,Sacramento,Kings,1610612758,Denver,Nuggets,1610612743,116,124,1610612743,Regular Season,16161,609,,,0
22401162,2025-04-09 21:00,Utah,Jazz,1610612762,Portland,Trail Blazers,1610612757,133,126,1610612762,Regular Season,18175,1000106,,,0
22401160,2025-04-09 20:00,Chicago,Bulls,1610612741,Miami,Heat,1610612748,119,111,1610612741,Regular Season,20509,66,,,0
22401158,2025-04-09 19:30,Toronto,Raptors,1610612761,Charlotte,Hornets,1610612766,126,96,1610612761,Regular Season,19800,643,,,0
22401159,2025-04-09 19:30,Dallas,Mavericks,1610612742,Los Angeles,Lakers,1610612747,97,112,1610612747,Regular Season,20841,193,,,0
22401156,2025-04-09 19:00,Orlando,Magic,1610612753,Boston,Celtics,1610612738,96,76,1610612753,Regular Season,19128,1000125,,,0
22401157,2025-04-09 19:00,Washington,Wizards,1610612764,Philadelphia,76ers,1610612755,103,122,1610612755,Regular Season,17222,77,,,0
22401155,2025-04-08 22:30,Los Angeles,Clippers,1610612746,San Antonio,Spurs,1610612759,122,117,1610612746,Regular Season,17927,1000137,,,0
22401154,2025-04-08 22:00,Phoenix,Suns,1610612756,Golden State,Warriors,1610612744,95,133,1610612744,Regular Season,17071,1000145,,,0
22401152,2025-04-08 20:00,Milwaukee,Bucks,1610612749,Minnesota,Timberwolves,1610612750,110,103,1610612749,Regular Season,17341,642,,,0
22401153,2025-04-08 20:00,Oklahoma City,Thunder,1610612760,Los Angeles,Lakers,1610612747,136,120,1610612760,Regular Season,18203,1000052,,,0
22401150,2025-04-08 19:30,Brooklyn,Nets,1610612751,New Orleans,Pelicans,1610612740,119,114,1610612751,Regular Season,16407,461,,,0
22401151,2025-04-08 19:30,New York,Knicks,1610612752,Boston,Celtics,1610612738,117,119,1610612738,Regular Season,19812,30,,,0
22401146,2025-04-08 19:00,Charlotte,Hornets,1610612766,Memphis,Grizzlies,1610612763,100,124,1610612763,Regular Season,17125,9,,,0
22401147,2025-04-08 19:00,Cleveland,Cavaliers,1610612739,Chicago,Bulls,1610612741,135,113,1610612739,Regular Season,19432,1000144,,,0
22401148,2025-04-08 19:00,Indiana,Pacers,1610612754,Washington,Wizards,1610612764,104,98,1610612754,Regular Season,16144,1000063,,,0
22401149,2025-04-08 19:00,Orlando,Magic,1610612753,Atlanta,Hawks,1610612737,119,112,1610612753,Regular Season,18846,1000125,,,0
22401145,2025-04-07 19:30,Miami,Heat,1610612748,Philadelphia,76ers,1610612755,117,105,1610612748,Regular Season,19700,1000100,,,0
22401144,2025-04-07 19:00,Detroit,Pistons,1610612765,Sacramento,Kings,1610612758,117,127,1610612758,Regular Season,19208,624,,,0
22401143,2025-04-06 20:30,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,96,106,1610612745,Regular Season,18064,1000011,,,0
22401142,2025-04-06 20:00,Denver,Nuggets,1610612743,Indiana,Pacers,1610612754,120,125,1610612754,Regular Season,19932,1000046,,,0
22401140,2025-04-06 19:00,New York,Knicks,1610612752,Phoenix,Suns,1610612756,112,98,1610612752,Regular Season,19812,30,,,0
22401136,2025-04-06 18:00,Atlanta,Hawks,1610612737,Utah,Jazz,1610612762,147,134,1610612737,Regular Season,16331,650,,,0
22401137,2025-04-06 18:00,Boston,Celtics,1610612738,Washington,Wizards,1610612764,124,90,1610612738,Regular Season,19156,17,,,0
22401138,2025-04-06 18:00,Cleveland,Cavaliers,1610612739,Sacramento,Kings,1610612758,113,120,1610612758,Regular Season,19432,1000144,,,0
22401139,2025-04-06 18:00,Portland,Trail Blazers,1610612757,San Antonio,Spurs,1610612759,120,109,1610612757,Regular Season,17928,51,,,0
22401134,2025-04-06 15:30,Brooklyn,Nets,1610612751,Toronto,Raptors,1610612761,109,120,1610612761,Regular Season,17007,461,,,0
22401135,2025-04-06 15:30,Oklahoma City,Thunder,1610612760,Los Angeles,Lakers,1610612747,99,126,1610612747,Regular Season,18203,1000052,,,0
22401133,2025-04-06 13:00,Charlotte,Hornets,1610612766,Chicago,Bulls,1610612741,117,131,1610612741,Regular Season,18499,9,,,0
22401132,2025-04-05 22:30,Los Angeles,Clippers,1610612746,Dallas,Mavericks,1610612742,135,104,1610612746,Regular Season,17927,1000137,,,0
22401131,2025-04-05 20:00,Miami,Heat,1610612748,Milwaukee,Bucks,1610612749,115,121,1610612749,Regular Season,19734,1000100,,,0
22401129,2025-04-05 19:00,Detroit,Pistons,1610612765,Memphis,Grizzlies,1610612763,103,109,1610612763,Regular Season,20062,624,,,0
22401130,2025-04-05 19:00,Philadelphia,76ers,1610612755,Minnesota,Timberwolves,1610612750,109,114,1610612750,Regular Season,19755,419,,,0
22401128,2025-04-05 15:00,Atlanta,Hawks,1610612737,New York,Knicks,1610612752,105,121,1610612752,Regular Season,16199,650,,,0
22401126,2025-04-04 22:30,Los Angeles,Lakers,1610612747,New Orleans,Pelicans,1610612740,124,108,1610612747,Regular Season,18997,1000069,,,0
